cve.id,cvss_baseScore,cve.lastModified
CVE-2025-26210,8.8,2025-09-26T13:58:31.357
CVE-2025-2416,8.6,2025-09-04T15:36:56.447
CVE-2025-47421,,2025-09-04T15:36:56.447
CVE-2025-9822,5.5,2025-09-04T15:36:56.447
CVE-2025-56608,4.2,2025-09-08T17:40:36.713
CVE-2025-57052,9.8,2025-11-03T19:16:12.460
CVE-2025-57146,8.1,2025-09-08T17:25:56.817
CVE-2025-57147,7.5,2025-09-08T17:18:49.497
CVE-2025-57148,9.1,2025-09-04T17:50:12.477
CVE-2025-57149,6.5,2025-09-04T17:51:40.233
CVE-2025-57150,7.2,2025-09-04T17:51:46.387
CVE-2025-57151,8.8,2025-09-04T17:51:51.447
CVE-2025-58458,4.3,2025-11-04T22:16:34.240
CVE-2025-58459,4.3,2025-11-04T22:16:34.370
CVE-2025-58460,4.2,2025-11-04T22:16:34.507
CVE-2025-58593,6.5,2025-09-04T15:35:29.497
CVE-2025-58594,4.3,2025-09-04T15:35:29.497
CVE-2025-58596,5.9,2025-09-04T15:35:29.497
CVE-2025-58597,4.3,2025-09-04T15:35:29.497
CVE-2025-58598,6.6,2025-09-04T15:35:29.497
CVE-2025-58599,4.3,2025-09-04T15:35:29.497
CVE-2025-58600,5.3,2025-09-04T15:35:29.497
CVE-2025-58601,4.3,2025-09-04T15:35:29.497
CVE-2025-58602,6.5,2025-09-04T15:35:29.497
CVE-2025-58603,5.3,2025-09-04T15:35:29.497
CVE-2025-58604,7.6,2025-09-04T15:35:29.497
CVE-2025-58605,6.5,2025-09-04T15:35:29.497
CVE-2025-58606,5.0,2025-09-04T15:35:29.497
CVE-2025-58607,6.5,2025-09-04T15:35:29.497
CVE-2025-58608,7.5,2025-09-04T15:35:29.497
CVE-2025-58609,6.5,2025-09-04T15:35:29.497
CVE-2025-58610,6.5,2025-09-04T15:35:29.497
CVE-2025-58611,4.3,2025-09-04T15:35:29.497
CVE-2025-58612,6.5,2025-09-04T15:35:29.497
CVE-2025-58613,5.3,2025-09-04T15:35:29.497
CVE-2025-58614,6.5,2025-09-04T15:35:29.497
CVE-2025-58615,4.4,2025-09-04T15:35:29.497
CVE-2025-58616,6.5,2025-09-04T15:35:29.497
CVE-2025-58617,4.3,2025-09-04T15:35:29.497
CVE-2025-58618,6.5,2025-09-04T15:35:29.497
CVE-2025-58620,6.5,2025-09-04T15:35:29.497
CVE-2025-58621,6.5,2025-09-04T15:35:29.497
CVE-2025-58622,4.3,2025-09-04T15:35:29.497
CVE-2025-58623,6.5,2025-09-04T15:35:29.497
CVE-2025-58624,6.5,2025-09-04T15:35:29.497
CVE-2025-58625,5.9,2025-09-04T15:35:29.497
CVE-2025-58626,6.5,2025-09-04T15:35:29.497
CVE-2025-58630,5.9,2025-09-04T15:35:29.497
CVE-2025-58631,5.9,2025-09-04T15:35:29.497
CVE-2025-58632,6.5,2025-09-04T15:35:29.497
CVE-2025-58633,6.5,2025-09-04T15:35:29.497
CVE-2025-58634,5.3,2025-09-04T15:35:29.497
CVE-2025-58635,5.3,2025-09-04T15:35:29.497
CVE-2025-58637,7.5,2025-09-04T15:35:29.497
CVE-2025-58639,5.4,2025-09-04T15:35:29.497
CVE-2025-58640,6.5,2025-09-04T15:35:29.497
CVE-2025-58641,5.4,2025-09-04T15:35:29.497
CVE-2025-58642,7.2,2025-09-04T15:35:29.497
CVE-2025-58643,7.2,2025-09-04T15:35:29.497
CVE-2025-58644,7.2,2025-09-04T15:35:29.497
CVE-2025-9823,,2025-09-04T15:35:29.497
CVE-2025-9824,5.9,2025-09-04T15:35:29.497
CVE-2025-0280,7.5,2025-09-04T15:35:29.497
CVE-2025-55852,7.5,2025-09-08T14:03:07.520
CVE-2025-55944,6.1,2025-09-09T16:04:57.400
CVE-2025-56435,5.3,2025-09-09T15:59:26.683
CVE-2025-56498,5.3,2025-09-09T15:58:46.043
CVE-2025-9919,9.8,2025-09-10T18:04:23.810
CVE-2025-9920,7.2,2025-09-09T15:42:48.693
CVE-2025-56689,4.6,2025-09-16T16:15:42.230
CVE-2025-56760,4.3,2025-09-09T18:30:48.923
CVE-2025-56761,5.4,2025-09-09T18:27:28.537
CVE-2025-9865,5.4,2025-09-04T16:12:54.513
CVE-2025-9866,8.8,2025-09-04T16:12:56.293
CVE-2025-9867,5.4,2025-09-04T16:12:58.900
CVE-2025-9921,5.4,2025-09-09T15:43:13.497
CVE-2025-9922,6.1,2025-09-09T15:43:27.150
CVE-2025-9959,7.6,2025-09-04T15:35:29.497
CVE-2025-20270,6.5,2025-09-09T18:15:53.293
CVE-2025-20280,4.8,2025-09-09T18:20:44.523
CVE-2025-20287,8.8,2025-09-09T18:11:59.287
CVE-2025-20291,6.1,2025-09-09T18:06:53.997
CVE-2025-20326,8.8,2025-09-10T18:03:13.847
CVE-2025-20328,5.4,2025-09-10T17:54:12.020
CVE-2025-20330,6.1,2025-09-10T17:36:51.947
CVE-2025-20335,5.3,2026-01-05T14:49:25.683
CVE-2025-20336,7.5,2026-01-05T14:49:30.253
CVE-2025-45805,7.6,2025-12-16T17:16:08.277
CVE-2025-52494,7.5,2025-09-08T18:50:48.793
CVE-2025-56752,9.4,2025-09-29T18:36:43.327
CVE-2025-56803,8.4,2025-09-26T14:02:46.583
CVE-2025-36193,6.7,2025-09-29T18:35:52.077
CVE-2025-9923,6.1,2025-09-08T16:42:51.653
CVE-2025-9924,9.8,2025-09-08T16:43:02.070
CVE-2025-53690,9.0,2025-10-30T20:39:16.593
CVE-2025-55162,8.8,2025-09-08T18:42:05.630
CVE-2025-56139,5.3,2025-09-08T18:37:24.330
CVE-2025-9365,7.8,2025-09-04T15:35:29.497
CVE-2025-9925,9.8,2025-09-08T16:47:17.650
CVE-2025-9926,9.8,2025-09-08T16:46:58.010
CVE-2025-55747,9.1,2025-09-10T17:47:28.840
CVE-2025-55748,7.5,2025-09-10T17:24:13.273
CVE-2025-57833,8.1,2025-11-04T22:16:31.930
CVE-2025-58056,7.5,2025-09-08T16:46:36.847
CVE-2025-8268,6.5,2025-09-04T15:35:29.497
CVE-2025-9927,9.8,2025-09-05T16:40:07.910
CVE-2025-9928,9.8,2025-09-05T16:39:50.020
CVE-2024-13071,4.3,2025-09-04T15:35:29.497
CVE-2024-13073,4.7,2025-09-04T15:35:29.497
CVE-2024-56189,6.5,2025-09-26T17:19:42.197
CVE-2024-56190,7.8,2025-09-05T16:39:31.230
CVE-2025-2411,8.6,2025-09-04T15:35:29.497
CVE-2025-2417,8.6,2025-09-04T15:35:29.497
CVE-2025-36887,7.8,2025-09-05T16:39:25.790
CVE-2025-36890,9.8,2025-09-29T23:03:48.843
CVE-2025-36891,8.8,2025-09-05T16:39:08.087
CVE-2025-36892,7.5,2025-09-05T16:39:03.253
CVE-2025-36893,5.5,2025-09-05T16:38:57.910
CVE-2025-36894,7.5,2025-09-05T16:38:51.837
CVE-2025-36895,7.5,2025-09-05T16:38:46.360
CVE-2025-36896,9.8,2025-09-05T16:38:40.553
CVE-2025-36897,9.8,2025-09-05T16:38:32.233
CVE-2025-36898,7.8,2025-09-05T16:38:27.463
CVE-2025-36899,8.4,2025-09-05T16:38:22.310
CVE-2025-36900,6.7,2025-09-05T16:38:11.317
CVE-2025-36901,8.8,2025-09-05T16:38:04.860
CVE-2025-36902,6.7,2025-09-05T16:37:51.477
CVE-2025-36903,7.8,2025-09-05T16:37:42.460
CVE-2025-36904,9.8,2025-09-05T16:37:36.547
CVE-2025-36905,7.8,2025-09-05T16:37:31.443
CVE-2025-36906,7.8,2025-09-08T16:46:22.173
CVE-2025-36907,7.3,2025-09-05T16:37:25.577
CVE-2025-36908,6.7,2025-09-05T16:37:18.477
CVE-2025-36909,5.3,2025-09-05T16:37:11.297
CVE-2025-43772,,2025-09-04T15:35:29.497
CVE-2025-58057,7.5,2025-09-08T16:45:55.143
CVE-2025-58064,,2025-09-04T15:35:29.497
CVE-2025-58355,7.7,2025-09-04T15:35:29.497
CVE-2025-58357,9.6,2026-01-22T20:09:16.937
CVE-2025-58358,7.5,2025-09-04T15:35:29.497
CVE-2025-6085,7.2,2025-12-22T20:10:56.740
CVE-2025-6984,7.5,2025-09-04T15:35:29.497
CVE-2025-9467,,2025-09-04T15:35:29.497
CVE-2025-9516,4.9,2025-09-04T15:35:29.497
CVE-2025-9517,7.2,2025-09-04T15:35:29.497
CVE-2025-9518,7.2,2025-09-04T15:35:29.497
CVE-2025-9519,7.2,2025-09-04T15:35:29.497
CVE-2025-9616,5.3,2025-09-04T15:35:29.497
CVE-2025-9929,4.8,2025-09-08T16:45:40.747
CVE-2025-9930,9.8,2025-09-08T16:43:41.247
CVE-2025-9931,6.1,2025-10-09T20:11:47.637
CVE-2025-9932,9.8,2025-09-08T16:43:28.063
CVE-2025-9933,9.8,2025-09-08T16:43:21.790
CVE-2025-9934,9.8,2025-09-29T18:34:55.073
CVE-2025-9935,9.8,2025-09-29T18:32:03.733
CVE-2025-9936,4.3,2025-10-09T20:44:10.210
CVE-2025-9937,5.4,2025-09-04T15:35:29.497
CVE-2025-9938,8.8,2025-09-29T18:30:16.607
CVE-2025-9939,5.4,2025-09-04T17:52:46.113
CVE-2025-9940,5.4,2025-09-04T17:52:37.127
CVE-2025-9941,8.8,2025-09-04T17:52:24.107
CVE-2025-9942,8.8,2025-09-04T17:52:15.997
CVE-2022-39888,4.3,2025-09-04T15:35:29.497
CVE-2024-34598,5.5,2026-01-12T19:16:54.400
CVE-2025-41032,9.8,2025-09-04T18:45:32.453
CVE-2025-41033,9.8,2025-09-04T18:45:25.733
CVE-2025-41034,9.8,2025-09-04T18:45:05.477
CVE-2025-41035,6.5,2025-09-04T18:44:52.747
CVE-2025-41036,5.4,2025-09-04T18:44:41.557
CVE-2025-41037,5.4,2025-09-04T18:44:34.860
CVE-2025-41038,5.4,2025-09-04T18:44:27.037
CVE-2025-41039,5.4,2025-09-04T18:44:19.723
CVE-2025-41040,5.4,2025-09-04T18:44:08.297
CVE-2025-41041,5.4,2025-09-04T18:44:02.050
CVE-2025-41042,5.4,2025-09-04T18:43:52.737
CVE-2025-41043,5.4,2025-09-04T18:43:45.480
CVE-2025-41044,5.4,2025-09-04T18:43:36.850
CVE-2025-41045,5.4,2025-09-04T18:43:29.777
CVE-2025-41046,5.4,2025-09-04T18:43:23.220
CVE-2025-41047,5.4,2025-09-04T18:43:17.077
CVE-2025-41048,5.4,2025-09-04T18:43:10.727
CVE-2025-41049,5.4,2025-09-04T18:43:04.660
CVE-2025-41050,5.4,2025-09-04T18:42:57.860
CVE-2025-41051,5.4,2025-09-04T18:42:43.010
CVE-2025-41052,5.4,2025-09-04T17:52:06.157
